Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|Renewal Fee Arcade|28-94|1032.3|1000||Y||40544|1|1||1057.29|1057.2961|24.99|0.024208079|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|SOB New|28-123(b)(1)a|2064.6|2000||Y||40544|1|1||2114.59|2114.5922|49.99|0.024212923|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|SOB Renewals|28-123(b)(1)b|1032.3|1000||Y||40544|1|1||1057.29|1057.2961|24.99|0.024208079|||||
Street Vendors|Administration and Regulatory Affairs|Permit|22-17|139.36|135||Y||40544|1|1||142.73|142.7344|3.37|0.024181975|||||
Taxi License & Permit|Administration and Regulatory Affairs|Annual Permit|46-68(a)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
Taxi License & Permit|Administration and Regulatory Affairs|Annual Permit-First Installment|46-68(a)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Taxi License & Permit|Administration and Regulatory Affairs|Annual Permit-Second Installment|46-68(a)|154.84|150||Y||40544|1|1||158.595|158.5892|3.755|0.02425084|||||
Taxi License & Permit|Administration and Regulatory Affairs|Annual Permit-Third Installment|46-68(a)|154.84|150||Y||40544|1|1||158.585|158.5892|3.745|0.024186257|||||
Taxi License & Permit|Administration and Regulatory Affairs|Medallion Replacement Fee|46-68(a)|No charge|No charge||Y||40544|1|1||No charge|#VALUE!|#VALUE!|#VALUE!|||||
Taxi License & Permit|Administration and Regulatory Affairs|Permit Pro-rated for less than 8 months, per month|46-68(a)|51.61|50||Y||40544|1|1||52.85|52.8596|1.24|0.024026351|||||
Taxicabs Permit|Administration and Regulatory Affairs|Permit application filing fee |46-65(a)|105|105||Y||40544|1|6||105|105|0|0|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Operator's Permit - Initial|26-392(c)|1548.45|1500||Y||40544|1|1||1585.94|1585.9441|37.49|0.024211308|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Operator's Permit - Renewal|26-392(c)|774.22|750||Y||40544|1|1||792.96|792.9669|18.74|0.024205006|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Zone Designation, Change in times/days of operation|26-448(b)|10.32|10||Y||40544|1|1||10.56|10.5698|0.24|0.023255814|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Zone Designation, one-time fee to cover the city's actual cost of making and installing signage designating the valet zone, per sign|26-447|154.84|150||Y||40544|1|1||158.58|158.5892|3.74|0.024153965|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Zone Designation, Transfer application review|26-448(a)|77.42|75||Y||40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Zone Permit|26-443(a)|412.92|400||Y||40544|1|1||422.91|422.9184|9.99|0.024193548|||||
Valet Parking Operater's Permit|Administration and Regulatory Affairs|Valet Zone Temp|26-449(a)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Valet Parking Operator's Permit|Administration and Regulatory Affairs|Valet Zone Designation, Annual|26-446|309.69|300||Y|||1|1||317.18|317.1888|7.49|0.024185476|||||
Bond |City Controller|Fees for replacement of bonds - Bearer bonds|02-264(a)(2)|1100|1100||N||40544|6|6||1100|1100|0|0|||||
Bond |City Controller|Fees for replacement of bonds - Registered bonds|02-264(a)(1)|400|400||N||40544|6|6||400|400|0|0|||||
Bond |City Controller|Fees for replacement of bonds by personal counsel - Bearer bonds|02-264(a)(4)|650|650||N||40544|6|6||650|650|0|0|||||
Bond |City Controller|Fees for replacement of bonds by personal counsel - Printing of replacement bonds or coupons|02-264(a)(3)|Actual cost|Actual cost||N||N/A|6|6||Actual cost|Actual cost|||||||
Bond |City Controller|Fees for replacement of bonds by personal counsel - Registered bonds|02-264(a)(4)|300|300||N||40544|6|6||300|300|0|0|||||
Filling Fee|City Secretary|District petitions|02-73|438.72|425||Y|N||6|1||449.34|449.3431|10.62|0.024206783|||||
Lobby Fee|City Secretary|Lobbyist Fee|18-74(b)|258.07|250||Y||40544|6|1||264.31|264.3189|6.24|0.024179486|||||
Public Record Charges|City Secretary|Documents larger than 8 1/2 inches by 14 inches in size including maps, charts, and other large documents|02-98(e)|actual cost|Actual cost||N||N/A|6|4||actual cost|actual cost|0|0|||||
Public Record Charges|City Secretary|Noncertified photographic reproductions of public records|02-98(d)|State Fee|State Fee||N||N/A|6|3||State Fee|State Fee|0|0|||||
Public Record Charges|City Secretary|True and correct copy of the record of any proceeding of the city council - original pages|02-98(a)(1)|0.1|0.1||N||N/A|6|3||0.1|0.1|0|0|||||
Public Record Charges|City Secretary|True and correct copy of the record of any proceeding of the city council - photostatic copies|02-98(a)(4)|0.1|0.1||N||N/A|6|3||0.1|0.1|0|0|||||
Public Record Charges|City Secretary|Verifying provided record is true and correct - certificate of true copy with seal|02-98(b)|0.51|0.5||Y|||6|1||0.52|0.5223|0.01|0.019607843|||||
Public Record Charges|City Secretary|Verifying provided record is true and correct - each page|02-98(b)|0.25|0.25||Y|||6|1||0.25|0.256|0|0|||||
TABC Certificate|City Secretary|Certificates issued under Alcoholic Beverage Code|02-72|1|1||N||N/A|3|3||1|1|0|0|||||
Buildings and Neighborhood Protection|Department of Neighborhoods|"Neighborhood Nuisance Abatement (""weeds, brush, rubbish, or other insanitary matter or condition constituting a nuisance"") Administrative fee"|10-453(b)|25.8|25|||||5|1||26.42|26.4247|0.62|0.024031008|||||
Public Record Charges|Department of Neighborhoods|Archive Retrieval Charges|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|Actual cost|Actual cost|||||6|6||Actual cost|Actual cost|0|0|||||
Public Record Charges|Department of Neighborhoods|Audio Cassette|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|1|1|||||6|6||1|1|0|0|||||
Public Record Charges|Department of Neighborhoods|Blueprint/Blueline paper|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|0.2|0.2|||||6|6||0.2|0.2|0|0|||||
Public Record Charges|Department of Neighborhoods|Computer Resource Charges:  Client/Server, per hour|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|2.2|2.2|||||6|6||2.2|2.2|0|0|||||
Public Record Charges|Department of Neighborhoods|Computer Resource Charges:  Mainframe, per minute|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|10|10|||||6|6||10|10|0|0|||||
Public Record Charges|Department of Neighborhoods|Computer Resource Charges:  Midsize, per minute|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|1.5|1.5|||||6|6||1.5|1.5|0|0|||||
Public Record Charges|Department of Neighborhoods|Computer Resource Charges:  PC or LAN, per hour|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|1|1|||||6|6||1|1|0|0|||||
Public Record Charges|Department of Neighborhoods|Computer Resource Charges:  Programming Time, per hour|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|28.5|28.5|||||6|6||28.5|28.5|0|0|||||
Public Record Charges|Department of Neighborhoods|Data cartridge, MAXIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|35|35|||||6|6||35|35|0|0|||||
Public Record Charges|Department of Neighborhoods|Data cartridge, MINIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|17.5|17.5|||||6|6||17.5|17.5|0|0|||||
Public Record Charges|Department of Neighborhoods|Magnetic Tape, MAXIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|13.5|13.5|||||6|6||13.5|13.5|0|0|||||
Public Record Charges|Department of Neighborhoods|Magnetic Tape, MINIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|11|11|||||6|6||11|11|0|0|||||
Public Record Charges|Department of Neighborhoods|Mylar, MAXIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|1.35|1.35|||||6|6||1.35|1.35|0|0|||||
Public Record Charges|Department of Neighborhoods|Mylar, MINIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|0.85|0.85|||||6|6||0.85|0.85|0|0|||||
Public Record Charges|Department of Neighborhoods|Overhead charges|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|20% of personnel charges|20% of personnel charges|||||6|6||20% of personnel charges|20% of personnel charges|0|0|||||
Public Record Charges|Department of Neighborhoods|Paper(11x17, greenbar, bluebar)|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|0.5|0.5|||||6|6||0.5|0.5|0|0|||||
Public Record Charges|Department of Neighborhoods|Personnel Charges, per hour|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|15|15|||||6|6||15|15|0|0|||||
Public Record Charges|Department of Neighborhoods|Photographs|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|Actual cost|Actual cost|||||6|6||Actual cost|Actual cost|0|0|||||
Public Record Charges|Department of Neighborhoods|Postage/Shipping|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|Actual cost|Actual cost|||||6|6||Actual cost|Actual cost|0|0|||||
Public Record Charges|Department of Neighborhoods|Standard-size paper copies (8x11 and 8x14)|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|0.1|0.1|||||6|6||0.1|0.1|0|0|||||
Public Record Charges|Department of Neighborhoods|Tape Cartridge, MAXIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|45|45|||||6|6||45|45|0|0|||||
Public Record Charges|Department of Neighborhoods|Tape Cartridge, MINIMUM|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|38|38|||||6|6||38|38|0|0|||||
Public Record Charges|Department of Neighborhoods|VHS Video Cassette|Texas Administrative Code, Title 1, Part 3, Chapter 70, Rule 70.3|2.5|2.5|||||6|6||2.5|2.5|0|0|||||
Release of Liens Fee|Department of Neighborhoods|Release of Lien - each additional|02-125|82.584|80||Y||40544|1|1||84.58|84.5836|1.996|0.024169331|||||
Release of Liens Fee|Department of Neighborhoods|Release of Lien - Initial|02-125|82.584|80||Y||40544|1|1||84.58|84.5836|1.996|0.024169331|||||
Ambulance Transports|Finance |Transport - Hospital to hospital|04-13(a)(1)|1000|1000||N|N|40725|6|5||1000|1000|0|0|||||
Ambulance Transports|Finance |Transport -  Other than hospital to hospital|04-13(a)(2)|1000|1000||N|N|40725|6|5||1000|1000|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Oxygen (any quantity)|04-13(c)(1)|65|65||N|N|40725|6|5||65|65|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Adenosine (Adenocard) per 6 mg|04-13(c)(10)|33.25|33.25||N|N|40725|6|5||33.25|33.25|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Albuterol Sulfate (Proventil) for 0.5% sol. per ml|04-13(c)(11)|0.7|0.7||N|N|40725|6|5||0.7|0.7|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Atropine per 0.3 mg|04-13(c)(12)|0.49|0.49||N|N|40725|6|5||0.49|0.49|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Dextrose 50%|04-13(c)(13)|11.39|11.39||N|N|40725|6|5||11.39|11.39|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Diazepam (Valium)|04-13(c)(14)|1.06|1.06||N|N|40725|6|5||1.06|1.06|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Dopamine (Intropin) per 250 mg|04-13(c)(15)|9.26|9.26||N|N|40725|6|5||9.26|9.26|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Epinephrine 1:1,000|04-13(c)(16)|1.09|1.09||N|N|40725|6|5||1.09|1.09|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Epinephrine 1:10,000|04-13(c)(17)|1.09|1.09||N|N|40725|6|5||1.09|1.09|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Furosemide (Lasix)|04-13(c)(18)|1.12|1.12||N|N|40725|6|5||1.12|1.12|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Lidocaine Drip per 50 cc|04-13(c)(19)|2.76|2.76||N|N|40725|6|5||2.76|2.76|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Oxygen mask or a nasal canula, or both|04-13(c)(2)|15|15||N|N|40725|6|5||15|15|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Lidocaine HCL--2% per 50 cc|04-13(c)(20)|2.76|2.76||N|N|40725|6|5||2.76|2.76|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Naloxone HCO (Narcan)|04-13(c)(21)|3.73|3.73||N|N|40725|6|5||3.73|3.73|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Cordarone IV per 300 mg|04-13(c)(22)|150|150||N|N|40725|6|5||150|150|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Miscellaneous medical supplies (any amount, type or quantity)|04-13(c)(23)|25|25||N|N|40725|6|5||25|25|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Medications, equipment and labor to provide other medically necessary services during transport|04-13(c)(24)|Actual cost|Actual cost||N||N/A|6|5||Actual cost|Actual cost|Actual cost|Actual cost|||||
Ambulance Transports|Finance |Transport - Variable fees - Mileage (from pickup point to hospital), per mile or any portion of the mile|04-13(c)(25)|13|13||N|N|40725|6|5||13|13|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - EKG (tracing only)|04-13(c)(3) |50|50||N|N|40725|6|5||50|50|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - EKG pad(s) (any quantity)|04-13(c)(4)|16.89|16.89||N|N|40725|6|5||16.89|16.89|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - IV administration set(s) (any quantity)|04-13(c)(6)|25|25||N|N|40725|6|5||25|25|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - IV prep kit(s) (any quantity)|04-13(c)(6)|10|10||N|N|40725|6|5||10|10|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Cervical collar|04-13(c)(7)|25|25||N|N|40725|6|5||25|25|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - Head immobilization|04-13(c)(8)|25|25||N|N|40725|6|5||25|25|0|0|||||
Ambulance Transports|Finance |Transport -  Variable fees - D5W (any quantity)|04-13(c)(9)|11|11||N|N|40725|6|5||11|11|0|0|||||
Attorney Fee|Finance |Surcharge by collections agent on street paving, water & sewer connection, and nuisance abatement property assessments|02-125|20% surcharge|20% surcharge||N|N||6|2||20% surcharge|20% surcharge|#VALUE!|#VALUE!|||||
Check Return Fee|Finance |Checks deposited by the City that are not honored|02-139(a)(2)|24|24||"N 
up to maximum of $30."|N||6|3||24|30|0|0|||||
Release of Lien (duplicate) Fee|Finance |Street paving, water & sewer connection, and nuisance abatement property assessments|02-125|82.584|80||Y|N||6|1||84.58|84.5836|1.996|0.024169331|||||
Release of Lien (initial) Fee|Finance |Street paving, water & sewer connection, and nuisance abatement property assessments|02-125|82.584|80||Y|N||6|1||84.58|84.5836|1.996|0.024169331|||||
Buildings and Neighborhood Protection Inspection|Fire|Fire Inspections for Child Care Homes|10-374|103.23|100||Y|Y|40544|3|1||105.72|105.7296|2.49|0.024120895|||||
Buildings and Neighborhood Protection Inspection|Fire|Fire Inspections for Child Care Homes -  Reinspection|10-375|77.42|75||Y|Y|40544|3|1||79.29|79.2946|1.87|0.024153965|||||
False Fire Alarm Collection Fee|Fire|False fire alarm response collection fee.|Ordinance 2007-1298; Section 2|111.48|108||Y|Y|40544|6-This amount is remitted to Linebarger for collecting the false alarm fees above.|1||114.17|114.1793|2.69|0.024129889|||||
False Fire Alarm Fee|Fire|False alarm fees are assessed on a false response call when the site is not permitted or the number of allowable calls for the permit term have been exceeded.|Ordinance 2002-527; Section 11-19(a)|371.62|360||Y|Y|40544|6|1||380.61|380.6184|8.99|0.024191378|||||
Fire Alarm Permit|Fire|Fire Alarm Permit (New) |Ordinance 2002-527; Section 11-15|77.42|75||Y|Y|40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Fire Alarm Permit|Fire|Fire Alarm Permit (Renewal) |Ordinance 2002-527; Section 11-15|51.61|50||Y|Y|40544|1|1||52.85|52.8596|1.24|0.024026351|||||
Fire inspections|Fire|Re-inspection fee (each)|Fire Code Section 105.8.2|309.69|300||Y|Y|40544|3|1||317.18|317.1888|7.49|0.024185476|||||
Fire Marshall Approvals|Fire|Fire Marshall Approvals- > 100,001 and < 500,000 sq. ft.|Fire Code Section 105.8.3|619.38|600||Y|Y|40544|3|1||634.37|634.3776|14.99|0.024201621|||||
Fire Marshall Approvals|Fire|Fire Marshall Approvals- > 50,000 and < 100,000 sq. ft.|Fire Code Section 105.8.3|309.69|300||Y|Y|40544|3|1||317.18|317.1888|7.49|0.024185476|||||
Fire Marshall Approvals|Fire|Fire Marshall Approvals- > 500,001 sq. ft.|Fire Code Section 105.8.3|825.84|800||Y|Y|40544|3|1||845.83|845.8368|19.99|0.024205657|||||
Fire Marshall Approvals|Fire|Fire Marshall Approvals- Up to 50,000 sq. ft|Fire Code Section 105.8.3|206.46|200||Y|Y|40544|3|1||211.45|211.4592|4.99|0.024169331|||||
Fire Permit|Fire|"Aerosol products - Tier 1
  Level 2 Aerosols: 2,500 lbs
  Level 3 Aerosols: 1,000 lbs
  Combined Level 2 and 3: 2,500 lbs"|Fire Code Section 105.6.1|206.46|200||Y|Y|40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Fire Permit|Fire|Aerosol products - Tier 2- Amounts greater than limits for Tier 1|Fire Code Section 105.6.1|619.38|600||Y|Y|40544|1|1||634.37|634.3776|14.99|0.024201621|||||
Fire Permit|Fire|Apparatus access, road access-control gate(s)- One gate|Fire Code Section 105.6.2|129.03|125||Y|Y|40544|1|1||132.15|132.1543|3.12|0.024180423|||||
Fire Permit|Fire|Apparatus access, road access-control gate(s)- Two or more gates|Fire Code Section 105.6.2|206.46|200||Y|Y|40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Fire Permit|Fire|"Asphalt kettles and roof torching operations (Site specific permit):
   Asphalt kettles- Each additional"|Fire Code Section 105.6.47|77.42|75||Y|Y|40544|1|1||79.29|79.2946|1.87|0.024153965|||||
Fire Permit|Fire|"Asphalt kettles and roof torching operations (Site specific permit):
   Asphalt kettles- First one"|Fire Code Section 105.6.47|206.46|200||Y|Y|40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Fire Permit|Fire|"Asphalt kettles and roof torching operations (Site specific permit):
   Asphalt kettles- Maximum"|Fire Code Section 105.6.47|412.92|400||Y|Y|40544|1|1||422.91|422.9184|9.99|0.024193548|||||
