Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
Non Consent Tow Rates,Administration and Regulatory Affairs,Off-year tow operator requested rate study,08-123(d)(2), Director will determine cost at time of the request. ,Director will determine cost at time of the request.,, Director shall prepare an estimate of the administrative cost of the rate review.,N,N,January 1 of years in which no rate adjustment is adopted,6,6,,Director will determine cost at time of the request.,Director will determine cost at time of the request.,$0.00,0.00%,,,,,
Occupation License,Administration and Regulatory Affairs,"Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - Change of business address",07-24, 2.06 ,$2.00,,,Y,,1-Jan,2,1,,$2.10,2.1098,$0.04,1.94%,,,,,
Occupation License,Administration and Regulatory Affairs,"Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - License Fee",07-19(a), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Occupation License,Administration and Regulatory Affairs,"Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - Show Fee",07-19(b), 10.32 ,$10.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Occupation License,Administration and Regulatory Affairs,Common Market - 10 vendors or less,07-108(a), 77.42 ,$75.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$79.29,79.2946,$1.87,2.42%,,,,,
Occupation License,Administration and Regulatory Affairs,Common Market - 11 to 20 vendors,07-108(a), 154.84 ,$150.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Occupation License,Administration and Regulatory Affairs,Common Market - 21 or more vendors,07-108(a), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Occupation License,Administration and Regulatory Affairs,Secondhand Reseller,07-57(b), 309.69 ,$300.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Occupation License,Administration and Regulatory Affairs,Secondhand Reseller Show License Fee,07-57(d), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Open Records Act Requests,Administration and Regulatory Affairs,Open Records Act request fee,"Texas Public Information Act. Texas Government Code, Section 552.2615, Chapter 552 ", Actual Cost ,Actual Cost,,Texas AG Cost Estimate Model: https://www.oag.state.tx.us/open/cost_page.shtml,N,,,6,3,,Actual Cost,Actual Cost,,,,,,,
Other License & Permit,Administration and Regulatory Affairs,Carnival Amusement,05-29, 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Other License & Permit,Administration and Regulatory Affairs,Charitable Solicitation Class A,36-77, 20.64 ,$20.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Other License & Permit,Administration and Regulatory Affairs,Charitable Solicitation Class B,36-77, 20.64 ,$20.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Other License & Permit,Administration and Regulatory Affairs,Charitable Solicitation Registration Fee,36-77, 20.64 ,$20.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$21.13,21.1397,$0.49,2.37%,,,,,
Other License & Permit,Administration and Regulatory Affairs,Mini Warehouse,27-4, 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Parking Permit,Administration and Regulatory Affairs,"Commercial vehicle loading zone meter fee, per hour, per space",26-230(b), 5.00 ,$5.00,,The fee to park in a Commercial Loading/Unloading Zone. These on-street parking zones are for commercial vehicles only.,N,,,1,4,,$5.00,5.0000,$0.00,0.00%,,,,,
Parking Permit,Administration and Regulatory Affairs,Commercial vehicle loading zone permit replacement,26-230(a), 25.80 ,$25.00,,,Y,,1-Jan,1,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Parking Permit,Administration and Regulatory Affairs,"Commercial vehicle loading zone permit, Class A",26-230(a)," 1,238.76 ","$1,200.00",,,Y,,1-Jan,1,1,,"$1,268.75","1,268.7553",$29.99,2.42%,,,,,
Parking Permit,Administration and Regulatory Affairs,"Commercial vehicle loading zone permit, Class B",26-230(a), 309.69 ,$300.00,,,Y,,1-Jan,1,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Parking Permit,Administration and Regulatory Affairs,"Commercial vehicle loading zone permit, Class C",26-230(a), 154.84 ,$150.00,,,Y,,1-Jan,1,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Parking Permit,Administration and Regulatory Affairs,"Commercial vehicle loading zone permit, Class D",26-230(a), 25.80 ,$25.00,,,Y,,1-Jan,1,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Pedicabs Inspection,Administration and Regulatory Affairs,Pedicab Vehicle Inspection Fee,46-161(a), 51.61 ,$50.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Pedicabs license,Administration and Regulatory Affairs,License,45-153(a), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Pedicabs Permit,Administration and Regulatory Affairs,"Annual Pedicab Permit Fee, each pedicab",45-153(c), 206.46 ,$200.00,,,Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Pedicabs Permit,Administration and Regulatory Affairs,Pedicab Permit Application Processing Fee,45-153(b), 103.23 ,$100.00,,,Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Pedicabs Permit,Administration and Regulatory Affairs,Permit amendment application,45-156(a), 103.23 ,$100.00,,,Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Breeders Permit,06-114, 120.00 ,$120.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,6,,$120.00,120.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Breeders Permit - Late Fee,06-114, 30.00 ,$30.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,6,,$30.00,30.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,"Certified assistance, hearing or seeing dogs, sterilized - Annual renewal",06-88(a)(4), 2.00 ,$2.00,,,Y,,1-Jan,2,6,,$2.00,2.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Kennel License,06-121(a), 200.00 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,6,,$200.00,200.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Late processing fee ,06-88(a)(5), 10.00 ,$10.00,,,Y,,1-Jan,2,6,,$10.00,10.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Neutered - Annual Fee,06-88(a)(1), 20.00 ,$20.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,6,,$20.00,20.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Replacement License Tag,06-93, 2.00 ,$2.00,,,Y,,1-Jan,2,6,,$2.00,2.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,"Senior citizens with neutered pet license, annual renewal",06-88(a)(3), 2.00 ,$2.00,,,Y,,1-Jan,2,6,,$2.00,2.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,"Senior citizens with neutered pet license, initial",06-88(a)(3), 5.00 ,$5.00,,,Y,,1-Jan,2,6,,$5.00,5.0000,$0.00,0.00%,,,,,
Rabies Control License,Administration and Regulatory Affairs,Unneutered,06-88(a)(2), 60.00 ,$60.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,2,6,,$60.00,60.0000,$0.00,0.00%,,,,,
Resident Parking Permit,Administration and Regulatory Affairs,Annual Resident or Visitor Permit,26-345(a), 25.80 ,$25.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)
",Y,,1-Jan,1,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Resident Parking Permit,Administration and Regulatory Affairs,One Day Visitor Permit - single,26-345(c), 1.03 ,$1.00,,,Y,,1-Jan,1,1,,$1.05,1.0549,$0.02,1.94%,,,,,
Resident Parking Permit,Administration and Regulatory Affairs,Request for designation of RPP area,26-312(a), 51.61 ,$50.00,,,Y,,1-Jan,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Resident Parking Permit,Administration and Regulatory Affairs,Service Provider,26-345(a), 25.80 ,$25.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)
Revisions pending",Y,,1-Jan,1,1,,$26.42,26.4247,$0.62,2.40%,,,,,
School Vehicles License,Administration and Regulatory Affairs,Operator license amendment fee,46-291(b), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
School Vehicles License,Administration and Regulatory Affairs,Operator license application fee,46-287, 103.23 ,$100.00,,,Y,,1-Jan,2,1,,$105.72,105.7296,$2.49,2.41%,,,,,
School Vehicles Permit,Administration and Regulatory Affairs,Annual license fee - School Vehicles (<16 passengers) (Annual Permit Fee),46-289(b), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
School Vehicles Permit,Administration and Regulatory Affairs,Annual license fee - School Vehicles (>59 passengers) (annual permit fee),46-289(b), 118.71 ,$115.00,,,Y,,1-Jan,1,1,,$121.58,121.5844,$2.87,2.42%,,,,,
School Vehicles Permit,Administration and Regulatory Affairs,Annual license fee - School Vehicles (16-59 passengers) (annual permit fee),46-289(b), 92.90 ,$90.00,,,Y,,1-Jan,1,1,,$95.14,95.1494,$2.24,2.41%,,,,,
Sexually Oriented Businesses,Administration and Regulatory Affairs,Transfer amendment application fee,28-95(b), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Sexually Oriented Businesses Inspection,Administration and Regulatory Affairs,Reinspection Fee adult arcade,28-93(c), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Sexually Oriented Businesses Inspection,Administration and Regulatory Affairs,"Reinspection Fee adult arcade, specially scheduled outside regular working hours",28-93(c), 30.96 ,$30.00,,,Y,,1-Jan,3,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,Entertainer & Managers - New,28-254(b), 258.07 ,$250.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$264.31,264.3189,$6.24,2.42%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,Entertainer & Managers - Replacement,28-254(g), 36.13 ,$35.00,,,Y,,1-Jan,1,1,,$37.00,37.0048,$0.87,2.41%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,Non refundable arcade,28-92(e)," 2,064.60 ","$2,000.00",,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,"$2,114.59","2,114.5922",$49.99,2.42%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,Permit transfer (nonrefundable),28-126(b), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,Renewal Fee Arcade,28-94," 1,032.30 ","$1,000.00",,,Y,,1-Jan,1,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,SOB New,28-123(b)(1)a," 2,064.60 ","$2,000.00",,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,"$2,114.59","2,114.5922",$49.99,2.42%,,,,,
Sexually Oriented Businesses Permit,Administration and Regulatory Affairs,SOB Renewals,28-123(b)(1)b," 1,032.30 ","$1,000.00",,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Street Vendors,Administration and Regulatory Affairs,Permit,22-17, 139.36 ,$135.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$142.73,142.7344,$3.37,2.42%,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,Annual Permit,46-68(a), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,Annual Permit-First Installment,46-68(a), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,Annual Permit-Second Installment,46-68(a), 154.84 ,$150.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$158.60,158.5892,$3.76,2.43%,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,Annual Permit-Third Installment,46-68(a), 154.84 ,$150.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$158.59,158.5892,$3.75,2.42%,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,Medallion Replacement Fee,46-68(a), No charge ,No charge,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,No charge,#VALUE!,#VALUE!,#VALUE!,,,,,
Taxi License & Permit,Administration and Regulatory Affairs,"Permit Pro-rated for less than 8 months, per month",46-68(a), 51.61 ,$50.00,,"For full 8 months, total is $400.  Full year is $500.",Y,,1-Jan,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Taxicabs Permit,Administration and Regulatory Affairs,Permit application filing fee ,46-65(a), 105.00 ,$105.00,,"Established by city council by motion upon recommendation of the director.
Set by Council in 2001",Y,,1-Jan,1,6,,$105.00,105.0000,$0.00,0.00%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,Valet Operator's Permit - Initial,26-392(c)," 1,548.45 ","$1,500.00",,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064).
07-1111, ? 2(Exh. A), 10-3-07",Y,,1-Jan,1,1,,"$1,585.94","1,585.9441",$37.49,2.42%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,Valet Operator's Permit - Renewal,26-392(c), 774.22 ,$750.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064).
07-1111, ? 2(Exh. A), 10-3-07",Y,,1-Jan,1,1,,$792.96,792.9669,$18.74,2.42%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,"Valet Zone Designation, Change in times/days of operation",26-448(b), 10.32 ,$10.00,,,Y,,1-Jan,1,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,"Valet Zone Designation, one-time fee to cover the city's actual cost of making and installing signage designating the valet zone, per sign",26-447, 154.84 ,$150.00,,,Y,,1-Jan,1,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,"Valet Zone Designation, Transfer application review",26-448(a), 77.42 ,$75.00,,,Y,,1-Jan,1,1,,$79.29,79.2946,$1.87,2.42%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,Valet Zone Permit,26-443(a), 412.92 ,$400.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$422.91,422.9184,$9.99,2.42%,,,,,
Valet Parking Operater's Permit,Administration and Regulatory Affairs,Valet Zone Temp,26-449(a), 206.46 ,$200.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Valet Parking Operator's Permit,Administration and Regulatory Affairs,"Valet Zone Designation, Annual",26-446, 309.69 ,$300.00,,"The fee shall be reviewed and approved by the director on an annual basis and adjusted to fully recover the city's costs, taking into account zone designation issuance and renewal costs, inspection and oversight services that may be required, and equipment",Y,,,1,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Bond ,City Controller,Fees for replacement of bonds - Bearer bonds,02-264(a)(2)," 1,100.00 ","$1,100.00",,,N,,1-Jan,6,6,,"$1,100.00","1,100.0000",$0.00,0.00%,,,,,
Bond ,City Controller,Fees for replacement of bonds - Registered bonds,02-264(a)(1), 400.00 ,$400.00,,,N,,1-Jan,6,6,,$400.00,400.0000,$0.00,0.00%,,,,,
Bond ,City Controller,Fees for replacement of bonds by personal counsel - Bearer bonds,02-264(a)(4), 650.00 ,$650.00,,,N,,1-Jan,6,6,,$650.00,650.0000,$0.00,0.00%,,,,,
Bond ,City Controller,Fees for replacement of bonds by personal counsel - Printing of replacement bonds or coupons,02-264(a)(3), Actual cost ,Actual cost,,,N,,N/A,6,6,,Actual cost,Actual cost,,,,,,,
Bond ,City Controller,Fees for replacement of bonds by personal counsel - Registered bonds,02-264(a)(4), 300.00 ,$300.00,,,N,,1-Jan,6,6,,$300.00,300.0000,$0.00,0.00%,,,,,
Filling Fee,City Secretary,District petitions,02-73, 438.72 ,$425.00,,See attached  - collected by Public Works,Y,N,,6,1,,$449.34,449.3431,$10.62,2.42%,,,,,
Lobby Fee,City Secretary,Lobbyist Fee,18-74(b), 258.07 ,$250.00,,,Y,,1-Jan,6,1,,$264.31,264.3189,$6.24,2.42%,,,,,
Public Record Charges,City Secretary,"Documents larger than 8 1/2 inches by 14 inches in size including maps, charts, and other large documents",02-98(e), actual cost ,Actual cost,,"Fee shall be based upon the actual cost of reproducing the document requested including labor, equipment, materials, and related expenses",N,,N/A,6,4,,actual cost,actual cost,$0.00,0.00%,,,,,
Public Record Charges,City Secretary,Noncertified photographic reproductions of public records,02-98(d), State Fee ,State Fee,,"Fee based upon the rules promulgated by the Texas Building and Procurement Commission in the Texas Administrative Code Title 1, Part 3, Chapter 70, from time to time",N,,N/A,6,3,,State Fee,State Fee,$0.00,0.00%,,,,,
Public Record Charges,City Secretary,True and correct copy of the record of any proceeding of the city council - original pages,02-98(a)(1), 0.10 ,$0.10,,"Fee based upon rules promulgated by the Office of the Attorney General, Texas Administrative Code Title 1, Part 3, Chapter 70",N,,N/A,6,3,,$0.10,0.1000,$0.00,0.00%,,,,,
Public Record Charges,City Secretary,True and correct copy of the record of any proceeding of the city council - photostatic copies,02-98(a)(4), 0.10 ,$0.10,,"Fee based upon rules promulgated by the Office of the Attorney General, Texas Administrative Code Title 1, Part 3, Chapter 70",N,,N/A,6,3,,$0.10,0.1000,$0.00,0.00%,,,,,
Public Record Charges,City Secretary,Verifying provided record is true and correct - certificate of true copy with seal,02-98(b), 0.51 ,$0.50,,Recommend $0.50 increase,Y,,,6,1,,$0.52,0.5223,$0.01,1.96%,,,,,
Public Record Charges,City Secretary,Verifying provided record is true and correct - each page,02-98(b), 0.25 ,$0.25,,N/A,Y,,,6,1,,$0.25,0.2560,$0.00,0.00%,,,,,
TABC Certificate,City Secretary,Certificates issued under Alcoholic Beverage Code,02-72, 1.00 ,$1.00,,"No Change
One half of state fee",N,,N/A,3,3,,$1.00,1.0000,$0.00,0.00%,,,,,
Buildings and Neighborhood Protection,Department of Neighborhoods,"Neighborhood Nuisance Abatement (""weeds, brush, rubbish, or other insanitary matter or condition constituting a nuisance"") Administrative fee",10-453(b), 25.80 ,$25.00,,"This is the assumed admin cost for ""...general overhead and administrative expense of inspection, locating owner(s), issuing notice, reinspection, and ordering work done, together with all necessary incidents of same...""",,,,5,1,,$26.42,26.4247,$0.62,2.40%,,,,,
